Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:09:14 AM,N,O,51126,17777,302.7,320,0,0,0,0,0
7/1/2026 9:09:17 AM,N,O,50929,17974,302.7,320,0,0,0,0,0
7/1/2026 9:09:19 AM,N,O,50919,17974,302.7,320,0,0,0,0,0
7/1/2026 9:09:25 AM,N,O,50921,17974,302.7,320,0,0,0,0,0
7/1/2026 9:09:27 AM,N,O,50917,17974,302.7,320,0,0,0,0,0
7/1/2026 9:09:28 AM,N,O,51016,17874,302.7,320,0,0,0,0,0
7/1/2026 9:09:30 AM,N,O,50944,17944,302.7,320,0,0,0,0,0
7/1/2026 9:09:34 AM,N,O,50894,17944,302.7,320,0,0,0,0,0
7/1/2026 9:09:37 AM,N,O,50994,17844,302.7,320,0,0,0,0,0
7/1/2026 9:09:38 AM,N,O,50882,17844,302.7,320,0,0,0,0,0
7/1/2026 9:09:40 AM,N,O,50737,17989,302.7,320,0,0,0,0,0
7/1/2026 9:09:43 AM,N,O,50727,17989,302.7,320,0,0,0,0,0
7/1/2026 9:09:45 AM,N,O,50747,17989,302.7,320,0,0,0,0,0
7/1/2026 9:09:48 AM,N,O,50676,18000,302.7,320,0,0,0,0,0
7/1/2026 9:09:49 AM,N,O,50076,18000,302.7,320,0,0,0,0,0
7/1/2026 9:09:51 AM,N,O,50077,18000,302.7,320,0,0,0,0,0
7/1/2026 9:09:53 AM,N,O,50080,18000,302.7,320,0,0,0,0,0
7/1/2026 9:10:01 AM,N,O,50745,18015,302.7,320,0,0,0,0,0
7/1/2026 9:10:03 AM,N,O,50733,18016,302.7,320,0,0,0,0,0
7/1/2026 9:10:04 AM,N,O,50797,18016,302.7,320,0,0,0,0,0
7/1/2026 9:10:08 AM,N,O,50807,18016,302.7,320,0,0,0,0,0
7/1/2026 9:10:10 AM,N,O,50804,18019,302.7,320,0,0,0,0,0
7/1/2026 9:10:14 AM,N,O,50807,18016,302.7,320,0,0,0,0,0
7/1/2026 9:10:15 AM,N,O,50813,18020,302.7,320,0,0,0,0,0
7/1/2026 9:10:21 AM,N,O,51313,18020,302.7,320,0,0,0,0,0
7/1/2026 9:10:30 AM,N,O,51299,18034,302.7,320,0,0,0,0,0
7/1/2026 9:10:41 AM,N,O,51302,18033,302.7,320,0,0,0,0,0
7/1/2026 9:10:42 AM,N,O,51282,18033,302.7,320,0,0,0,0,0
7/1/2026 9:10:43 AM,N,O,51242,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:45 AM,N,O,51257,18083,302.7,320,0,0,0,0,0
